,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,deltaDate,date
148,0.73,4.9,17.7,22.6,26.25,72.0,42.0,721.1,0.0,51.0,2.9,0.0,29.61,6.4,135.0,11279.0,2021-04-14 23:00:00
149,0.62,3.6,8.1,11.7,30.25,96.0,47.0,721.3,0.0,62.0,3.4,0.0,28.35,12.2,139.0,11280.0,2021-04-15 00:00:00
150,0.55,2.7,7.0,9.6,24.75,102.0,49.0,721.3,0.0,66.0,3.1,0.0,27.18,10.0,131.0,11281.0,2021-04-15 01:00:00
151,0.49,2.2,2.9,5.0,25.75,80.0,47.0,721.2,0.0,70.0,3.0,0.0,26.17,7.9,115.0,11282.0,2021-04-15 02:00:00
152,0.47,2.2,3.6,5.7,23.5,65.0,44.0,720.9,0.0,75.0,2.9,0.0,25.26,5.4,123.0,11283.0,2021-04-15 03:00:00
153,0.45,2.2,2.7,4.8,18.75,65.0,44.0,720.8,0.0,78.0,2.9,0.0,24.55,1.4,98.0,11284.0,2021-04-15 04:00:00
154,0.45,2.2,3.0,5.1,18.75,62.0,42.0,720.7,0.0,80.0,2.7,0.0,23.97,1.4,78.0,11285.0,2021-04-15 05:00:00
155,0.46,2.2,4.6,6.7,27.25,61.0,42.0,720.8,0.0,82.0,2.6,0.0,23.69,1.4,47.0,11286.0,2021-04-15 06:00:00
156,0.51,2.6,8.2,10.7,18.75,67.0,40.0,720.8,0.0,83.0,2.7,0.0,23.91,6.300000000000001,106.0,11287.0,2021-04-15 07:00:00
157,0.67,5.8,11.7,17.5,23.5,70.0,40.0,720.9,0.0,83.0,2.9,0.003,23.95,8.15,126.0,11288.0,2021-04-15 08:00:00
158,0.78,11.3,12.1,23.4,18.75,68.0,44.0,721.0,0.0,82.0,2.9,0.022,24.26,2.325,162.0,11289.0,2021-04-15 09:00:00
159,0.92,12.8,11.4,24.2,22.0,83.0,48.0,721.1,0.0,81.0,3.1,0.023,24.39,1.3,168.0,11290.0,2021-04-15 10:00:00
160,0.76,9.3,9.2,18.4,27.25,103.0,49.0,721.1,0.0,82.0,2.8,0.06,24.35,1.3,140.0,11291.0,2021-04-15 11:00:00
161,0.5,3.1,4.6,7.7,27.25,95.0,48.0,721.1,0.0,78.0,2.6,0.088,25.2,1.4,85.0,11292.0,2021-04-15 12:00:00
162,0.52,3.0,3.7,6.7,27.25,81.0,46.0,721.1,0.0,76.0,2.5,0.118,25.54,1.3,67.0,11293.0,2021-04-15 13:00:00
163,0.49,3.3,3.2,6.4,27.25,81.0,43.0,720.8,0.0,69.0,2.5,0.351,27.69,4.8,90.0,11294.0,2021-04-15 14:00:00
164,0.58,4.2,7.9,12.1,24.75,80.0,50.0,719.9,0.0,57.0,3.9,0.171,30.21,10.4,122.0,11298.0,2021-04-15 18:00:00
165,0.55,2.8,5.7,8.5,25.5,88.0,49.0,719.8,0.0,59.0,4.3,0.077,29.75,11.0,103.0,11299.0,2021-04-15 19:00:00
166,0.59,2.8,8.1,10.9,23.75,86.0,48.0,719.9,0.0,62.0,4.4,0.019,28.84,12.0,112.0,11300.0,2021-04-15 20:00:00
167,0.56,2.5,7.0,9.5,23.75,86.0,47.0,720.1,0.0,64.0,3.2,0.0,28.24,10.6,113.0,11301.0,2021-04-15 21:00:00
168,0.56,2.5,6.1,8.5,26.0,79.0,44.0,720.3,0.0,64.0,3.0,0.0,28.01,9.2,120.0,11302.0,2021-04-15 22:00:00
169,0.58,3.6,10.4,13.9,23.5,72.0,40.0,720.4,0.0,63.0,3.3,0.0,27.97,8.4,129.0,11303.0,2021-04-15 23:00:00
170,0.47,2.3,4.0,6.2,23.25,70.0,39.0,720.4,0.0,65.0,3.7,0.0,27.45,10.5,111.0,11304.0,2021-04-16 00:00:00
171,0.45,2.3,3.2,5.4,23.5,64.0,39.0,720.4,0.0,71.0,6.6,0.0,26.41,13.8,125.0,11305.0,2021-04-16 01:00:00
